"","college_Player","college_G","college_GS","college_MP","college_FG","college_FGA","college_FG.","college_2P","college_2PA","college_2P.","college_3P","college_3PA","college_3P.","college_FT","college_FTA","college_FT.","college_ORB","college_DRB","college_TRB","college_AST","college_STL","college_BLK","college_TOV","college_PF","college_PTS","college_Team","nba_G","nba_MP","nba_PER","nba_OWS","nba_DWS","nba_WS","nba_WS.48","nba_OBPM","nba_DBPM","nba_BPM","nba_VORP"
"260","Jahlil Okafor",17,17,31.8,6.8,10.5,0.652,6.8,10.5,0.652,0,0,NA,3.2,5.9,0.545,4.1,5.4,9.5,1.4,0.7,1.3,2.8,2.3,16.9,"duke",34.375,647.5,15.1375,0.45,0.5125,0.9625,0.07425,-1.95,-0.45,-2.3875,0
"261","Jahmi'us Ramsey",18,18,32.8,5.2,12.4,0.42,2.9,7,0.421,2.3,5.4,0.418,1.8,2.7,0.653,0.4,3.2,3.6,2.5,1.2,0.7,2.1,2.4,14.5,"texas-tech",13,94,10.5,0,0,0,0.012,-3.1,-1.4,-4.5,-0.1
"262","JaJuan Johnson",15.6,10.4,23.9,3.6,8.18,0.4166,3.06,6.4,0.4668,0.56,1.76,0.309,2.12,2.64,0.6216,0.9,2.94,3.82,1.62,1.02,0.64,1.54,1.46,9.92,"purdue",36,298,11.4,-0.3,0.5,0.2,0.032,-3.3,-0.6,-3.9,-0.1
"263","Jake Layman",18,15.75,29.25,3.4,7.975,0.42925,2,4.05,0.50525,1.35,3.9,0.35875,1.6,2.075,0.75225,1.125,3.675,4.775,0.9,0.85,0.875,1.475,2.2,9.775,"maryland",41.8,573.6,9,0.28,0.46,0.74,0.0234,-3.02,-0.36,-3.4,-0.02
"264","Jakob Poeltl",17.5,17.5,26.9,4.75,7.3,0.669,4.75,7.3,0.669,0,0,NA,2.8,4.55,0.529,2.55,4.75,7.25,1.35,0.55,1.35,1.6,2.7,12.3,"utah",69.6,1287.8,17.14,2.62,1.76,4.4,0.1608,-0.48,0.98,0.52,0.92
"265","Jalen Brunson",18,17.6666666666667,30,5.1,10.2333333333333,0.492,3.73333333333333,6.33333333333333,0.578,1.36666666666667,3.93333333333333,0.352,3.23333333333333,3.96666666666667,0.814,0.366666666666667,2.2,2.56666666666667,3.96666666666667,0.8,0.0333333333333333,2.3,2.03333333333333,14.8,"villanova",66,1436.66666666667,14.9333333333333,2.33333333333333,0.9,3.26666666666667,0.107,0.133333333333333,-0.7,-0.566666666666667,0.533333333333333
"266","Jalen Harris",13.4285714285714,8.14285714285714,23.5714285714286,2.7,6.78571428571429,0.340142857142857,2,4.37142857142857,0.439571428571429,0.7,2.4,0.194285714285714,1.5,2.02857142857143,NA,0.314285714285714,2.4,2.71428571428571,2.41428571428571,0.628571428571429,0.128571428571429,1.81428571428571,1.94285714285714,7.62857142857143,"new-mexico",13,172,15.2,0.1,0.1,0.3,0.079,0.5,-0.3,0.3,0.1
"267","Jalen Jones",14.6666666666667,6.16666666666667,19.6666666666667,1.95,3.43333333333333,0.601166666666667,1.85,3.16666666666667,0.615666666666667,0.1,0.3,NA,1.25,2.13333333333333,0.536833333333333,1.43333333333333,2.45,3.85,0.916666666666667,0.483333333333333,0.3,1.08333333333333,2.25,5.25,"southern-methodist",12,144,9.475,0.025,0.1,0.125,0.0405,-3.325,-2.525,-5.85,-0.125
"268","Jalen McDaniels",18,17.5,30.1,5.8,11.05,0.5495,5.45,9.8,0.5765,0.35,1.25,0.2695,2.75,3.5,0.7915,2.35,6.2,8.55,1.35,1.15,0.5,1.9,2.7,14.75,"san-diego-state",31.5,598.5,11.05,0.25,0.55,0.85,0.07,-3.1,-0.15,-3.25,-0.2
"269","Jalen Smith",17.6666666666667,14.6666666666667,23.4333333333333,3.6,7.13333333333333,0.449,2.8,4.8,0.605,0.833333333333333,2.3,0.329333333333333,1.76666666666667,2.36666666666667,NA,1.93333333333333,4.16666666666667,6.1,0.566666666666667,0.4,1.2,1.13333333333333,1.6,9.73333333333333,"southern-methodist",27,156,8.4,-0.1,0.2,0.1,0.022,-4.8,-1.3,-6.1,-0.2
"270","Jamaal Franklin",12.3333333333333,9.66666666666667,25.8,4.06666666666667,9.56666666666667,0.433,3,5.8,0.538333333333333,1.06666666666667,3.76666666666667,0.284666666666667,4.2,5.2,0.775666666666667,1.46666666666667,5.8,7.26666666666667,1.7,0.766666666666667,0.566666666666667,2.5,2.06666666666667,13.3666666666667,"san-diego-state",12,87,4.8,-0.1,0.1,0,-0.0325,-4.9,-0.85,-5.75,-0.1
"271","Jamal Murray",18,18,35.9,7.6,16,0.476,3.9,7.6,0.511,3.7,8.4,0.444,3.5,4.3,0.808,1.6,3.9,5.4,1.8,1,0.3,1.7,1.9,22.4,"kentucky",69,2076.8,16,2.72,1.44,4.16,0.0952,1.34,-1.04,0.3,1.18
"272","Jameel Warney",16,15.25,30.4,6.2,10.2,0.61175,6.2,10.2,0.61175,0,0,NA,2.725,4.425,0.60875,3,5.65,8.625,1.85,0.625,1.875,1.425,2.125,15.075,"stony-brook",3,27,22.5,0.1,0,0.1,0.157,2.5,-2.7,-0.2,0
